accID,Involving
5360,Heavy Truck
5373,Pedestrian
5394,Heavy Truck
5400,Heavy Truck
5409,Heavy Truck
5444,Bicycle
5445,Bicycle
5446,Bicycle
5459,Heavy Truck
5464,Bicycle
5475,Heavy Truck
5495,Heavy Truck
5505,Bicycle
5514,Heavy Truck
5528,Motorcycle
5538,Heavy Truck
5558,Pedestrian
5562,Heavy Truck
5574,Heavy Truck
5579,Heavy Truck
5601,Heavy Truck
5633,Pedestrian
5659,Motorcycle
5688,Heavy Truck
5693,Pedestrian
5694,Pedestrian
5720,Pedestrian
5726,Motorcycle
5736,Heavy Truck
5745,Bicycle
5746,Heavy Truck
5790,Heavy Truck
5807,Motorcycle
5823,Heavy Truck
5857,Pedestrian
5858,Heavy Truck
5863,Heavy Truck
5942,Heavy Truck
5946,Heavy Truck
5949,Bicycle
5972,Motorcycle
5978,Bicycle
5981,Heavy Truck
5996,Motorcycle
6018,Heavy Truck
6031,Heavy Truck
6051,Motorcycle
6120,Motorcycle
6126,Pedestrian
6128,Heavy Truck
6137,Pedestrian
6161,Heavy Truck
6162,Heavy Truck
6183,Heavy Truck
6219,Motorcycle
6253,Motorcycle
6254,Heavy Truck
6255,Heavy Truck
6261,Motorcycle
6294,Heavy Truck
6312,Heavy Truck
6314,Heavy Truck
6324,Pedestrian
6369,Pedestrian
6403,Pedestrian
6404,Heavy Truck
6407,Heavy Truck
6425,Heavy Truck
6432,Heavy Truck
6443,Heavy Truck
6503,Heavy Truck
6508,Heavy Truck
6513,Motorcycle
6518,Motorcycle
6524,Pedestrian
6526,Motorcycle
6534,Heavy Truck
6562,Heavy Truck
6567,Pedestrian
6575,Heavy Truck
6598,Heavy Truck
6611,Heavy Truck
6618,Heavy Truck
6644,Pedestrian
6651,Heavy Truck
6675,Motorcycle
6684,Bicycle
6687,Heavy Truck
6690,Heavy Truck
6698,Heavy Truck
6701,Heavy Truck
6703,Heavy Truck
6716,Motorcycle
6717,Motorcycle
6719,Motorcycle
6724,Pedestrian
6729,Motorcycle
6738,Pedestrian
6772,Heavy Truck
6775,Heavy Truck
6829,Heavy Truck
6844,Bicycle
6883,Pedestrian
6894,Heavy Truck
6904,Heavy Truck
6929,Motorcycle
6972,Heavy Truck
6979,Motorcycle
6985,Motorcycle
6987,Heavy Truck
7015,Bicycle
7126,Heavy Truck
7132,Pedestrian
7138,Motorcycle
7149,Heavy Truck
7203,Pedestrian
7208,Heavy Truck
7274,Bicycle
7279,Heavy Truck
7312,Bicycle
7316,Pedestrian
7322,Pedestrian
7348,Heavy Truck
7349,Motorcycle
7352,Pedestrian
7384,Bicycle
7394,Motorcycle
7395,Pedestrian
7403,Heavy Truck
7408,Heavy Truck
7428,Motorcycle
7438,Heavy Truck
7482,Heavy Truck
7493,Heavy Truck
7497,Pedestrian
7520,Pedestrian
7521,Heavy Truck
7522,Bicycle
7527,Heavy Truck
7531,Pedestrian
7536,Bicycle
7541,Heavy Truck
7549,Heavy Truck
7558,Heavy Truck
7572,Heavy Truck
7575,Motorcycle
7590,Heavy Truck
7594,Motorcycle
7609,Heavy Truck
7610,Heavy Truck
7618,Heavy Truck
7626,Heavy Truck
7633,Bicycle
7637,Motorcycle
7672,Heavy Truck
7686,Pedestrian
7707,Heavy Truck
7726,Heavy Truck
7736,Heavy Truck
7742,Pedestrian
7748,Pedestrian
7752,Heavy Truck
7794,Pedestrian
7878,Pedestrian
7880,Heavy Truck
7899,Pedestrian
7904,Motorcycle
7914,Motorcycle
7917,Heavy Truck
7921,Heavy Truck
7952,Pedestrian
7954,Heavy Truck
7959,Heavy Truck
7964,Motorcycle
8000,Motorcycle
8019,Motorcycle
8059,Heavy Truck
8066,Heavy Truck
8068,Bicycle
8088,Heavy Truck
8111,Motorcycle
8113,Motorcycle
8123,Heavy Truck
8142,Motorcycle
8153,Heavy Truck
8163,Heavy Truck
8178,Heavy Truck
8184,Heavy Truck
8188,Heavy Truck
8194,Heavy Truck
8199,Heavy Truck
8207,Bicycle
8218,Pedestrian
8233,Heavy Truck
8240,Bicycle
8244,Heavy Truck
8270,Heavy Truck
8273,Heavy Truck
8275,Heavy Truck
8279,Motorcycle
8283,Pedestrian
8284,Motorcycle
8293,Heavy Truck
8302,Heavy Truck
8329,Motorcycle
8333,Heavy Truck
8334,Bicycle
8337,Motorcycle
8342,Motorcycle
8343,Pedestrian
8345,Heavy Truck
8370,Motorcycle
8375,Heavy Truck
8387,Pedestrian
8401,Heavy Truck
8430,Pedestrian
8440,Heavy Truck
8493,Heavy Truck
8495,Heavy Truck
8539,Heavy Truck
8545,Heavy Truck
8549,Heavy Truck
8594,Heavy Truck
8614,Pedestrian
8621,Heavy Truck
8629,Pedestrian
8639,Heavy Truck
8652,Heavy Truck
8660,Bicycle
8691,Pedestrian
8702,Heavy Truck
8746,Heavy Truck
8772,Bicycle
8776,Pedestrian
8782,Heavy Truck
8784,Bicycle
8798,Heavy Truck
8801,Pedestrian
8808,Pedestrian
8816,Heavy Truck
8826,Heavy Truck
8833,Heavy Truck
8837,Heavy Truck
8852,Heavy Truck
8854,Motorcycle
8856,Motorcycle
8858,Heavy Truck
8872,Motorcycle
8877,Motorcycle
8886,Heavy Truck
8896,Motorcycle
8914,Heavy Truck
8932,Motorcycle
8942,Heavy Truck
8957,Heavy Truck
8966,Motorcycle
8985,Heavy Truck
9001,Pedestrian
9014,Heavy Truck
9023,Pedestrian
9035,Heavy Truck
9046,Heavy Truck
9048,Heavy Truck
9077,Motorcycle
9095,Heavy Truck
9109,Heavy Truck
9118,Motorcycle
9121,Motorcycle
9126,Motorcycle
9143,Motorcycle
9148,Heavy Truck
9161,Pedestrian
9175,Bicycle
9207,Heavy Truck
9235,Bicycle
9236,Heavy Truck
9238,Heavy Truck
9323,Motorcycle
