locID,cityID,streetAddress,roadChar
160,78,686 VT ROUTE 67 W ,Not Reported
161,7,607 Highland RD,Not Reported
162,79,850 W Hill Road,Not at a Junction
163,72,29 SCHOOL HOUSE RD ,Not Reported
164,68,RT 11,Not Reported
165,10,160 James Brown Dr,Not at a Junction
166,21,Roosevelt Hwy,Off Ramp
167,80,Not Reported,Not at a Junction
168,13,260 Court ST Ext,Not Reported
169,62,Main St,Not at a Junction
170,8,291 MONKTON RD ,Not Reported
171,19,2 EDUCATIONAL DR,Parking Lot
172,81,VT Rt 15,Not Reported
173,42,"Waterbury Rd, Moscow Rd",T - Intersection
174,67,76 Terrace Dr,Y - Intersection
175,1,28 West Main Street,Not at a Junction
176,55,Christian Street,Not at a Junction
177,82,135 US Route 5 South,Parking Lot
178,80,3197 US RT 5,T - Intersection
179,6,Fairview St,Not at a Junction
180,83,100 Block DELORM RD,Not Reported
181,21,I 89 N MM97,Not Reported
182,6,469 Canal St,T - Intersection
183,6,1049 Marlboro Rd,Not at a Junction
184,84,266 VT RT 15 ,Not Reported
185,6,Vernon Rd,Not at a Junction
186,85,DANBY HILL RD,Not Reported
187,86,I-91 South,Not at a Junction
188,7,30 Merrill Street,Not at a Junction
189,15,42 Cleveland Avenue,Not at a Junction
190,47,Graniteville Rd,Parking Lot
191,11,RT 2,Not Reported
192,2,960 Shelburne Rd,Not at a Junction
193,31,Route 100,Four-way Intersection
194,87,I 89 N MM12,Not Reported
195,88,669 VT RT 110,Not at a Junction
196,2,Lime Kiln Rd,Driveway
197,7,2 Chester Rd,Parking Lot
198,89,5854 VT 30 N,Not at a Junction
199,19,3 BROWNS RIVER RD,Not at a Junction
200,32,Handle Road,T - Intersection
201,53,Not Reported,Not at a Junction
202,55,INTERSTATE 91 N,Not Reported
203,31,Jersey Heights,Not at a Junction
204,90,Not Reported,Not Reported
205,79,227 Union Brook Road,Not at a Junction
206,48,1 Block HEARTHSTONE LN,Not Reported
207,62,4300 Block US ROUTE 2 EAST,Not Reported
208,91,Crescent & Central,Four-way Intersection
209,28,916 Main Street,Parking Lot
210,92,VT RT 15,Not Reported
211,12,College St,Four-way Intersection
212,92,4323 VT ROUTE 108 S ,Not Reported
213,40,Elm St,T - Intersection
214,2,155 DORSET ST,Parking Lot
215,70,Berlin Street,Not at a Junction
216,31,VT Rt 15,Not at a Junction
217,7,700 Charlestown Road,Parking Lot
218,93,4027 VT RT 125,Not at a Junction
219,94,1709 Middlebrook Road,Not at a Junction
220,35,1073 US RT 302,Not at a Junction
221,95,839 Niles Road,Not at a Junction
222,10,I 89 N MM82; 82/8 ,Not Reported
223,54,5236 US Route 2,Not at a Junction
224,15,South Main Street,T - Intersection
225,56,Main RD,Not at a Junction
226,31,Brooklyn St,Not at a Junction
227,96,287 County Road,Not at a Junction
228,97,891 S Richford Rd,Not at a Junction
229,19,71 Pearl St,Four-way Intersection
230,11,Middle Rd,Not at a Junction
231,98,389 Coventry Station Rd,Not at a Junction
232,28,751 North Bennington Road,Driveway
233,99,1510 Richmond Rd,Y - Intersection
234,12,Elmwood Ave,Not Reported
235,28,96 Northside Drive,Y - Intersection
236,12,40 Grove St,Not at a Junction
237,100,5503 Us Rt 7,T - Intersection
238,101,VT Route 100,T - Intersection
239,13,Court Street Ext.,Four-way Intersection
240,63,Main Street,Parking Lot
241,102,27 Duffy Hill Rd,Not at a Junction
242,60,Spear Street,Not Reported
243,99,Shelburne Falls Rd,Not at a Junction
244,6,Putney Rd,Not at a Junction
245,103,30 Cross Rd,Not at a Junction
246,80,30 ROY ST ,Not Reported
247,55,Woodstock Road,Four-way Intersection
248,12,Institute Rd,Parking Lot
249,67,2685 Killington Rd.,Not at a Junction
250,12,Rte 127/Beltline,Four-way Intersection
251,28,US Roue 7 North,On Ramp
252,12,Colchester Ave,Four-way Intersection
253,6,Oak Grove Ave,Not at a Junction
254,53,5 Acme Street,Parking Lot
255,12,111 Colchester Ave,Four-way Intersection
256,12,Sherman St,Not Reported
257,74,West Hill Road,Not at a Junction
258,6,17 Winding Hill Drive,Not at a Junction
259,104,I 89 N MM76; 76/6 ,Not Reported
260,105,1068 Higley Hill Rd,Not at a Junction
261,57,Stratton Arlington Rd,Not at a Junction
262,28,160 Benmont Avenue,Parking Lot
263,47,Washington Rd,Not at a Junction
264,106,108 Vt Route 30,Not at a Junction
265,2,Brewer Pkwy,Four-way Intersection
266,66,Spruce Ridge Rd,Not at a Junction
267,6,Roundabout,Traffic circle / roundabout
268,107,384 Meadowlake Dr,Not at a Junction
269,72,Not Reported,Not at a Junction
270,6,157 Marlboro Rd,Not at a Junction
271,99,Charlotte Rd,T - Intersection
272,7,333 River Street,Not Reported
273,80,BEEBE RD,Not Reported
274,80,294 CRAWFORD RD ,Not Reported
275,28,983 North Branch Street,Not at a Junction
276,38,MM 114.6,Not at a Junction
277,108,1007 US Route 7,Not at a Junction
278,12,Cherry St,Not at a Junction
279,6,Belmont Ave,Parking Lot
280,109,BEAR MOUNTAIN RD ,Not Reported
281,19,Browns River Rd,T - Intersection
282,110,6815 VT 105,Not at a Junction
283,62,ROUTE 2,Not Reported
284,15,254 South Main Street,Not Reported
285,59,241 W Canal St,Parking Lot
286,102,1749 Sampsonville Rd,Not at a Junction
287,111,1400 Block OLD DUCK POND RD,Not Reported
288,10,Not Reported,Not at a Junction
289,112,I-91 N,Off Ramp
290,21,Blakely Road,T - Intersection
291,59,63 North St,Not at a Junction
292,29,I 89 S MM20,Not Reported
293,14,3129 Memorial Dr,Not at a Junction
294,113,Route 7,Not at a Junction
295,42,S Main St,T - Intersection
296,114,I-91 SB MM 3.2,Not at a Junction
297,115,1365 US RT 302,Four-way Intersection
298,21,College Parkway,Not at a Junction
299,69,Mile Marker 42,Not at a Junction
300,79,South Main St,T - Intersection
301,35,I91N; MM106,Not at a Junction
302,70,Summer Street,Four-way Intersection
303,110,Not Reported,Not at a Junction
304,46,4187 US Route 5,Not at a Junction
305,116,I91 MM52/20SB,Not at a Junction
306,6,99 Green St,T - Intersection
